N , INSTANCE , # UDC , # COMBINATIONS , # OUTGOING LINKS , MAX # PARALLEL ACTIVITIES , AVG # PARALLEL ACTIVITIES , # DOUBLE LINKS , NPV , MAX MEMORY (ABSOLUTE) , MAX MEMORY (1) , MAX MEMORY (2) , AVG MEMORY , MAX # UDC IN MEMORY , AVG # UDC IN MEMORY , UDC CPU TIME , NPV CPU TIME , NPV (ENU) , CPU TIME (ENU) 
10, 72, 10, 561, 15, 5, 3.2, 0, NA, 0.00428009, 0.002388, 0.002388 , 0.00146544, 2, 1.3262, 0.003, NA, 0, 0
10, 73, 9, 705, 15, 5, 3.22222, 0, NA, 0.00537872, 0.00444794, 0.00444794 , 0.00271784, 3, 1.05532, 0.002, NA, 0, 0
10, 74, 9, 729, 14, 5, 3.33333, 0, NA, 0.00556183, 0.00315094, 0.00315094 , 0.00229166, 3, 1.18519, 0.002, NA, 0, 0
10, 75, 10, 585, 16, 5, 3.3, 0, NA, 0.0044632, 0.00246429, 0.00246429 , 0.00143224, 3, 0.830769, 0.002, NA, 0, 0
10, 76, 16, 585, 32, 4, 3.375, 0, NA, 0.0044632, 0.00205231, 0.00205231 , 0.00135211, 5, 2.66667, 0.002, NA, 0, 0
10, 77, 12, 433, 21, 4, 3, 0, NA, 0.00330353, 0.00136566, 0.00136566 , 0.000869575, 4, 1.68129, 0.002, NA, 0, 0
10, 78, 11, 561, 21, 5, 3.18182, 0, NA, 0.00428009, 0.00301361, 0.00301361 , 0.00177584, 4, 2.51337, 0.005, NA, 0, 0
10, 79, 13, 521, 25, 5, 3, 0, NA, 0.00397491, 0.00215912, 0.00215912 , 0.00142624, 6, 2.27639, 0.004, NA, 0, 0
10, 80, 9, 729, 15, 5, 3.33333, 0, NA, 0.00556183, 0.00411224, 0.00411224 , 0.00221028, 4, 1.90123, 0.002, NA, 0, 0
10, 81, 11, 585, 18, 5, 3.27273, 0, NA, 0.0044632, 0.00156403, 0.00156403 , 0.001182, 3, 1.13846, 0.002, NA, 0, 0
10, 82, 12, 465, 22, 4, 3.16667, 0, NA, 0.00354767, 0.00128937, 0.00128937 , 0.000903058, 3, 1.70323, 0.002, NA, 0, 0
10, 83, 11, 585, 16, 5, 3.27273, 0, NA, 0.0044632, 0.00266266, 0.00266266 , 0.00153647, 2, 0.8, 0.002, NA, 0, 0
10, 84, 8, 729, 12, 5, 3.375, 0, NA, 0.00556183, 0.00287628, 0.00287628 , 0.00216281, 2, 0.888889, 0.002, NA, 0, 0
10, 85, 9, 801, 14, 5, 3.44444, 0, NA, 0.00611115, 0.00287628, 0.00287628 , 0.00204213, 2, 1.16854, 0.002, NA, 0, 0
10, 86, 7, 1017, 7, 6, 3.14286, 0, NA, 0.00775909, 0.00534821, 0.00534821 , 0.00396608, 1, 0.0707965, 0.002, NA, 0, 0
